trial_id,condition_id,stack_algorithm,ground_algorithm,corruption_rate,seed,total_moves,num_regenerations,num_corruptions_occurred,final_state_valid,timeout
C1_T1,1,dig_out,greedy,0.05,100,9,2,1,True,False
C1_T2,1,dig_out,greedy,0.05,200,4,1,0,True,False
C1_T3,1,dig_out,greedy,0.05,300,19,1,0,True,False
C1_T4,1,dig_out,greedy,0.05,400,5,1,0,True,False
C1_T5,1,dig_out,greedy,0.05,500,5,1,0,True,False
C1_T6,1,dig_out,greedy,0.05,600,15,4,3,True,False
C1_T7,1,dig_out,greedy,0.05,700,25,2,2,True,False
C1_T8,1,dig_out,greedy,0.05,800,5,1,0,True,False
C1_T9,1,dig_out,greedy,0.05,900,13,1,0,True,False
C1_T10,1,dig_out,greedy,0.05,1000,28,1,0,True,False
C1_T11,1,dig_out,greedy,0.05,1100,22,2,1,True,False
C1_T12,1,dig_out,greedy,0.05,1200,8,3,2,True,False
C1_T13,1,dig_out,greedy,0.05,1300,27,1,0,True,False
C1_T14,1,dig_out,greedy,0.05,1400,4,1,0,True,False
C1_T15,1,dig_out,greedy,0.05,1500,10,1,1,True,False
C1_T16,1,dig_out,greedy,0.05,1600,9,2,1,True,False
C1_T17,1,dig_out,greedy,0.05,1700,5,2,1,True,False
C1_T18,1,dig_out,greedy,0.05,1800,4,1,0,True,False
C1_T19,1,dig_out,greedy,0.05,1900,8,1,0,True,False
C1_T20,1,dig_out,greedy,0.05,2000,19,1,0,True,False
C1_T21,1,dig_out,greedy,0.05,2100,6,1,0,True,False
C1_T22,1,dig_out,greedy,0.05,2200,15,3,2,True,False
C1_T23,1,dig_out,greedy,0.05,2300,5,1,0,True,False
C1_T24,1,dig_out,greedy,0.05,2400,32,1,1,True,False
C1_T25,1,dig_out,greedy,0.05,2500,11,2,1,True,False
C1_T26,1,dig_out,greedy,0.05,2600,17,2,1,True,False
C1_T27,1,dig_out,greedy,0.05,2700,3,2,1,True,False
C1_T28,1,dig_out,greedy,0.05,2800,5,1,1,True,False
C1_T29,1,dig_out,greedy,0.05,2900,9,3,2,True,False
C1_T30,1,dig_out,greedy,0.05,3000,12,1,0,True,False
C1_T31,1,dig_out,greedy,0.05,3100,5,2,1,True,False
C1_T32,1,dig_out,greedy,0.05,3200,4,1,0,True,False
C1_T33,1,dig_out,greedy,0.05,3300,17,3,3,True,False
C1_T34,1,dig_out,greedy,0.05,3400,6,1,0,True,False
C1_T35,1,dig_out,greedy,0.05,3500,5,1,0,True,False
C1_T36,1,dig_out,greedy,0.05,3600,12,1,0,True,False
C1_T37,1,dig_out,greedy,0.05,3700,8,2,1,True,False
C1_T38,1,dig_out,greedy,0.05,3800,11,2,1,True,False
C1_T39,1,dig_out,greedy,0.05,3900,18,2,2,True,False
C1_T40,1,dig_out,greedy,0.05,4000,32,1,0,True,False
C1_T41,1,dig_out,greedy,0.05,4100,7,2,1,True,False
C1_T42,1,dig_out,greedy,0.05,4200,20,2,1,True,False
C1_T43,1,dig_out,greedy,0.05,4300,15,1,0,True,False
C1_T44,1,dig_out,greedy,0.05,4400,4,2,1,True,False
C1_T45,1,dig_out,greedy,0.05,4500,5,1,0,True,False
C1_T46,1,dig_out,greedy,0.05,4600,10,1,0,True,False
C1_T47,1,dig_out,greedy,0.05,4700,18,2,1,True,False
C1_T48,1,dig_out,greedy,0.05,4800,5,1,0,True,False
C1_T49,1,dig_out,greedy,0.05,4900,7,3,2,True,False
C1_T50,1,dig_out,greedy,0.05,5000,12,2,1,True,False
C1_T51,1,dig_out,greedy,0.05,5100,4,1,1,True,False
C1_T52,1,dig_out,greedy,0.05,5200,13,1,0,True,False
C1_T53,1,dig_out,greedy,0.05,5300,6,1,0,True,False
C1_T54,1,dig_out,greedy,0.05,5400,6,1,0,True,False
C1_T55,1,dig_out,greedy,0.05,5500,4,1,0,True,False
C1_T56,1,dig_out,greedy,0.05,5600,8,3,2,True,False
C1_T57,1,dig_out,greedy,0.05,5700,7,1,0,True,False
C1_T58,1,dig_out,greedy,0.05,5800,8,1,0,True,False
C1_T59,1,dig_out,greedy,0.05,5900,20,1,0,True,False
C1_T60,1,dig_out,greedy,0.05,6000,12,1,0,True,False
C1_T61,1,dig_out,greedy,0.05,6100,8,3,2,True,False
C1_T62,1,dig_out,greedy,0.05,6200,4,1,0,True,False
C1_T63,1,dig_out,greedy,0.05,6300,12,1,1,True,False
C1_T64,1,dig_out,greedy,0.05,6400,16,1,0,True,False
C1_T65,1,dig_out,greedy,0.05,6500,23,3,2,True,False
